,event_id_cnty,event_date,year,time_precision,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,admin1,admin2,admin3,location,latitude,longitude,geo_precision,fatalities,tags,population_best,civilian_targeting_dummy
1162,UKR79134,2022-10-30,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Zaporizhia,Polohivskyi,Huliaipilska,Zaliznychne,47.6451,36.1696,2,0,,1735.0,0
1163,UKR120482,2022-10-30,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Zaporizhia,Polohivskyi,Preobrazhenska,Omelnyk,47.6418,35.8773,2,0,,869.0,0
1164,UKR79676,2022-10-31,2022,1,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-),,External/Other forces,State forces-External/Other forces,,Mykolaiv,Bashtanskyi,Snihurivska,Snihurivka,47.0702,32.7914,1,0,,4351.0,0
1165,UKR79660,2022-11-02,2022,1,Military Forces of Russia (2000-) Air Force,,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Donetsk,Pokrovskyi,Marinska,Marinka,47.9425,37.505,1,0,,6495.0,0
1166,UKR78689,2022-11-02,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Donetsk,Volnovaskyi,Vuhledarska,Vuhledar,47.7789,37.2481,2,0,,2207.0,0
1167,UKR234877,2022-11-02,2022,1,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-),,External/Other forces,State forces-External/Other forces,,Kherson,Henicheskyi,Henicheska,Henichesk,46.1759,34.8034,2,0,,13191.0,0
1168,UKR78949,2022-11-03,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),Civilians (Ukraine),State forces,State forces-External/Other forces,,Donetsk,Bakhmutskyi,Bakhmutska,Bakhmut,48.5956,37.9999,1,5,,53681.0,0
1169,UKR79662,2022-11-03,2022,1,Military Forces of Russia (2000-) Air Force,,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Donetsk,Bakhmutskyi,Soledarska,Soledar,48.6969,38.0611,1,0,,9688.0,0
1170,UKR79661,2022-11-03,2022,1,Military Forces of Russia (2000-) Air Force,,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Donetsk,Pokrovskyi,Ocheretynska,Netaylove,48.1083,37.5507,2,0,,980.0,0
1171,UKR78698,2022-11-03,2022,1,Military Forces of Ukraine (2019-) Air Force,Military Forces of Ukraine (2019-),State forces,Military Forces of Russia (2000-),,External/Other forces,State forces-External/Other forces,,Kherson,Khersonskyi,Khersonska,Kherson,46.6558,32.6178,3,32,,117180.0,0
